source_code	source_code_description	length
A4388	"Ostomy pouch, drainable, with extended wear barrier attached, (1 piece), each"	77
A4389	"Ostomy pouch, drainable, with barrier attached, with built-in convexity (1 piece), each"	87
A4390	"Ostomy pouch, drainable, with extended wear barrier attached, with built-in convexity (1 piece), each"	101
A4391	"Ostomy pouch, urinary, with extended wear barrier attached (1 piece), each"	74
A4392	"Ostomy pouch, urinary, with standard wear barrier attached, with built-in convexity (1 piece), each"	99
A4393	"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity (1 piece), each"	99
A4394	"Ostomy deodorant, with or without lubricant,  for use in ostomy pouch, per fluid ounce"	86
A4395	"Ostomy deodorant for use in ostomy pouch, solid, per tablet"	59
A4396	Ostomy belt with peristomal hernia support	42
A4397	"Irrigation supply; sleeve, each"	31
A4398	"Ostomy irrigation supply; bag, each"	35
A4399	"Ostomy irrigation supply; cone/catheter, with or without brush"	62
A4400	Ostomy irrigation set	21
A4402	"Lubricant, per ounce"	20
A4404	"Ostomy ring, each"	17
A4405	"Ostomy skin barrier, non-pectin based, paste, per ounce"	55
A4406	"Ostomy skin barrier, pectin-based, paste, per ounce"	51
A4407	"Ostomy skin barrier, with flange (solid, flexible, or accordion), extended wear, with built-in convexity, 4 x 4 inches or smaller, each"	135
A4408	"Ostomy skin barrier, wtih flange (solid, flexible or accordion), extended wear, with built-in convexity, larger than 4 x 4 inches, each"	135
A4409	"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, 4 x 4 inches or smaller, each"	137
A4410	"Ostomy skin barrier, with flange (solid, flexible or accordion), extended wear, without built-in convexity, larger than 4 x 4 inches, each"	138
A4411	"Ostomy skin barrier, solid 4x4 or equivalent, extended wear, with built-in convexity, each"	90
A4412	"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), without filter, each"	109
A4413	"Ostomy pouch, drainable, high output, for use on a barrier with flange (2 piece system), with filter, each"	106
A4414	"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, 4 x 4 inches or smaller, each"	122
A4415	"Ostomy skin barrier, with flange (solid, flexible or accordion), without built-in convexity, larger than 4x4 inches, each"	121
A4416	"Ostomy pouch, closed, with barrier attached, with filter (1 piece), each"	72
A4417	"Ostomy pouch, closed, with barrier attached, with built-in convexity, with filter (1 piece), each"	97
A4418	"Ostomy pouch, closed; without barrier attached, with filter (1 piece), each"	75
A4419	"Ostomy pouch, closed; for use on barrier with non-locking flange, with filter (2 piece), each"	93
A4420	"Ostomy pouch, closed; for use on barrier with locking flange (2 piece), each"	76
A4421	Ostomy supply; miscellaneous	28
A4422	"Ostomy absorbent material (sheet/pad/crystal packet) for use in ostomy pouch to thicken liquid stomal output, each"	114
A4423	"Ostomy pouch, closed; for use on barrier with locking flange, with filter (2 piece), each"	89
A4424	"Ostomy pouch, drainable, with barrier attached, with filter (1 piece), each"	75
A4425	"Ostomy pouch, drainable; for use on barrier with non-locking flange, with filter (2 piece system), each"	103
A4426	"Ostomy pouch, drainable; for use on barrier with locking flange (2 piece system), each"	86
A4427	"Ostomy pouch, drainable; for use on barrier with locking flange, with filter (2 piece system), each"	99
A4428	"Ostomy pouch, urinary, with extended wear barrier attached, with faucet-type tap with valve (1 piece), each"	107
A4429	"Ostomy pouch, urinary, with barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each"	118
A4430	"Ostomy pouch, urinary, with extended wear barrier attached, with built-in convexity, with faucet-type tap with valve (1 piece), each"	132
A4431	"Ostomy pouch, urinary; with barrier attached, with faucet-type tap with valve (1 piece), each"	93
A4432	"Ostomy pouch, urinary; for use on barrier with non-locking flange, with faucet-type tap with valve (2 piece), each"	114
A4433	"Ostomy pouch, urinary; for use on barrier with locking flange (2 piece), each"	77
A4434	"Ostomy pouch, urinary; for use on barrier with locking flange, with faucet-type tap with valve (2 piece), each"	110
A4435	"Ostomy pouch, drainable, high output, with extended wear barrier (one-piece system), with or without filter, each"	113
A4450	"Tape, non-waterproof, per 18 square inches"	42
A4452	"Tape, waterproof, per 18 square inches"	38
A4455	"Adhesive remover or solvent (for tape, cement or other adhesive), per ounce"	75
A4456	"Adhesive remover, wipes, any type, each"	39
A4458	"Enema bag with tubing, reusable"	31
A4461	"Surgical dressing holder, non-reusable, each"	44
A4463	"Surgical dressing holder, reusable, each"	40
A4465	Non-elastic binder for extremity	32
A4466	"Garment, belt, sleeve or other covering, elastic or similar stretchable material, any type, each"	96
A4470	Gravlee jet washer	18
A4480	Vabra aspirator	15
A4481	"Tracheostoma filter, any type, any size, each"	45
A4483	"Moisture exchanger, disposable, for use with invasive mechanical ventilation"	76
A4490	"Surgical stockings above knee length, each"	42
A4495	"Surgical stockings thigh length, each"	37
A4500	"Surgical stockings below knee length, each"	42
A4510	"Surgical stockings full length, each"	36
A4520	"Incontinence garment, any type, (e.g. brief, diaper), each"	58
A4550	Surgical trays	14
A4554	"Disposable underpads, all sizes"	31
A4555	"Electrode/transducer for use with electrical stimulation device used for cancer treatment, replacement only"	107
A4556	"Electrodes, (e.g., apnea monitor), per pair"	43
A4557	"Lead wires, (e.g., apnea monitor), per pair"	43
A4558	"Conductive gel or paste, for use with electrical device (e.g., tens, nmes), per oz"	82
A4559	"Coupling gel or paste, for use with ultrasound device, per oz"	61
A4561	"Pessary, rubber, any type"	25
A4562	"Pessary, non rubber, any type"	29
A4565	Slings	6
A4566	"Shoulder sling or vest design, abduction restrainer, with or without swathe control, prefabricated, includes fitting and adjustment"	131
A4570	Splint	6
A4575	"Topical hyperbaric oxygen chamber, disposable"	45
A4580	Cast supplies (e.g. plaster)	28
A4590	Special casting material (e.g. fiberglass)	42
A4595	"Electrical stimulator supplies, 2 lead, per month, (e.g. tens, nmes)"	68
A4600	"Sleeve for intermittent limb compression device, replacement only, each"	71
A4601	"Lithium ion battery for non-prosthetic use, replacement"	55
A4604	Tubing with integrated heating element for use with positive airway pressure device	83
A4605	"Tracheal suction catheter, closed system, each"	46
A4606	"Oxygen probe for use with oximeter device, replacement"	54
A4608	"Transtracheal oxygen catheter, each"	35
A4611	"Battery, heavy duty; replacement for patient owned ventilator"	61
A4612	Battery cables; replacement for patient-owned ventilator	56
A4613	Battery charger; replacement for patient-owned ventilator	57
A4614	"Peak expiratory flow rate meter, hand held"	42
A4615	"Cannula, nasal"	14
A4616	"Tubing (oxygen), per foot"	25
A4617	Mouth piece	11
A4618	Breathing circuits	18
A4619	Face tent	9
A4620	Variable concentration mask	27
A4623	"Tracheostomy, inner cannula"	27
A4624	"Tracheal suction catheter, any type other than closed system, each"	66
A4625	Tracheostomy care kit for new tracheostomy	42
A4626	"Tracheostomy cleaning brush, each"	33
A4627	"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler"	81
A4628	"Oropharyngeal suction catheter, each"	36
A4629	Tracheostomy care kit for established tracheostomy	50
A4630	"Replacement batteries,  medically necessary, transcutaneous electrical stimulator, owned by patient"	99
A4633	"Replacement bulb/lamp for ultraviolet light therapy system, each"	64
A4634	"Replacement bulb for therapeutic light box, tabletop model"	58
A4635	"Underarm  pad, crutch, replacement, each"	40
A4636	"Replacement, handgrip, cane, crutch, or walker, each"	52
A4637	"Replacement, tip, cane, crutch, walker, each."	45
A4638	"Replacement battery for patient-owned ear pulse generator, each"	63
A4639	"Replacement pad for infrared heating pad system, each"	53
A4640	Replacement pad  for use with medically necessary alternating pressure pad owned by patient	91
A4641	"Radiopharmaceutical, diagnostic, not otherwise classified"	57
A4642	"Indium in-111 satumomab pendetide, diagnostic, per study dose, up to 6 millicuries"	82
A4648	"Tissue marker, implantable, any type, each"	42
A4649	Surgical supply; miscellaneous	30
A4650	"Implantable radiation dosimeter, each"	37
A4651	"Calibrated microcapillary tube, each"	36
A4652	Microcapillary tube sealant	27
A4653	"Peritoneal dialysis catheter anchoring device, belt, each"	57
A4657	"Syringe, with or without needle, each"	37
A4660	Sphygmomanometer/blood pressure apparatus with cuff and stethoscope	67
A4663	Blood pressure cuff only	24
A4670	Automatic blood pressure monitor	32
A4671	"Disposable cycler set used with cycler dialysis machine, each"	61
A4672	"Drainage extension line, sterile, for dialysis, each"	52
A4673	"Extension line with easy lock connectors, used with dialysis"	60
A4674	"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz"	83
A4680	"Activated carbon filter for hemodialysis, each"	46
A4690	"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each"	75
